Read,Composition,Well,R_squared,Total_Quality_Peaks,Peak_1_Wavelength,Peak_1_Intensity,Peak_1_FWHM,Peak_1_Area,Peak_1_LeftArea,Peak_1_RightArea,Peak_1_Asymmetry,Peak_2_Wavelength,Peak_2_Intensity,Peak_2_FWHM,Peak_2_Area,Peak_2_LeftArea,Peak_2_RightArea,Peak_2_Asymmetry,Peak_3_Wavelength,Peak_3_Intensity,Peak_3_FWHM,Peak_3_Area,Peak_3_LeftArea,Peak_3_RightArea,Peak_3_Asymmetry,Peak_4_Wavelength,Peak_4_Intensity,Peak_4_FWHM,Peak_4_Area,Peak_4_LeftArea,Peak_4_RightArea,Peak_4_Asymmetry,Peak_5_Wavelength,Peak_5_Intensity,Peak_5_FWHM,Peak_5_Area,Peak_5_LeftArea,Peak_5_RightArea,Peak_5_Asymmetry
1,B1,B1,0.9972006231422859,1,501.9671361194152,9124.757647501652,29.4398742878028,285949.6042401901,135911.9017383455,140916.66933465606,0.01807894169634234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B1,B1,0.996529145944311,1,501.386714212791,17487.53959239923,31.319113280297557,583002.4482883464,293731.89152466087,271084.7356469742,-0.040096475188937254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B2,B2,0.9980359674126913,1,502.75402430199017,12257.78977770296,29.725802281099803,387862.65310274897,184403.69354646248,190919.05621307378,0.01735935983306526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B2,B2,0.9982155712491431,1,502.9823879292187,28617.065846493562,30.78501768475804,937770.8317059731,439578.66147880343,468357.70343473164,0.03169720155296225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B3,B3,0.9978465920235745,1,501.8592069343326,9522.215294287467,30.100001779941962,305096.1504396991,144919.62598007833,150645.3669267064,0.01937218914296068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B3,B3,0.997854824614504,1,501.6242140524238,19710.085267201423,31.66917519838462,664442.5952249971,322652.550730701,321301.49412905646,-0.0020980636932543682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B4,B4,0.9989347354635956,1,497.6170131724455,9616.434900475871,38.20962011636704,391128.10696035944,187753.01908453734,190077.0887489301,0.006151097057138506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B4,B4,0.9994252600844424,1,498.14904663842503,20634.851593566604,41.13834907548171,903608.7317751179,443603.3968244181,426981.5763771376,-0.01909270313517373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B5,B5,0.9976184626872375,1,503.5031577124611,11655.540285955038,29.694248786000497,368414.7104211328,180951.52455033507,175742.1618913759,-0.0146045833076736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B5,B5,0.9964367061634073,1,502.37913235989316,22291.522999432345,31.09477771815612,737835.2641435167,372008.9954334811,342183.6135799885,-0.04176097802900972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B6,B6,0.9978948877264178,1,502.50094424430057,11990.926061569184,29.466942927020412,376114.4484197014,180629.3377423413,183373.486143615,0.007538810748714025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B6,B6,0.9981652151909133,1,502.2538147471362,25173.857289338754,30.72083427012724,823218.2342244769,404510.74692180724,393401.8190700701,-0.013922487657438667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C1,C1,0.9983259016616732,1,503.3333719258181,19900.449578385254,30.426558735562924,644537.1199309106,317034.43181728804,307431.9070736718,-0.015377169505517511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C1,C1,0.9983853938987673,1,503.2130668386583,26005.73674433999,29.95758187170504,829293.2432287369,408269.03164924134,394434.5649096982,-0.017234838362316117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C2,C2,0.9982133045526207,1,501.9636769802142,11810.020561464218,30.185149808936295,379468.9097206602,177935.26552971738,189794.67917445785,0.032250334288878545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C2,C2,0.9985049028516745,1,502.37182874154126,27786.437746826607,31.403338616903454,928839.9910427103,452400.08459031704,447896.18157958915,-0.005002689869956551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C3,C3,0.9970702211140673,1,497.62979902739386,10253.19692037382,31.783648253946293,346892.77484386344,171762.93169791537,165909.64284709605,-0.017334214538169655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C3,C3,0.9968195405986907,1,497.3041257648829,20473.314674337355,33.616080595190525,732600.9003016182,372888.5263048881,340382.590260517,-0.04557304409141925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C4,C4,0.9994024198196526,1,498.5421741165148,8932.743847369697,37.0626346103307,352414.18324952497,166450.00296151848,168112.27351054244,0.004968493658497615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C4,C4,0.9987329996209275,1,498.34431826789,17071.003789712522,39.741346327333574,722160.6903977309,351331.48715710785,336382.3180045108,-0.021737485914048067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C5,C5,0.9991255389304423,1,498.4509438478225,10639.607260694249,37.6042417288948,425887.25443247374,204243.6163849886,205437.28721492324,0.002913659922748977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C5,C5,0.9996010851261874,1,499.05185848750887,23987.002993831236,40.11016078487219,1024147.7197649381,496677.70542500843,481146.9065057221,-0.015883010848561616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C6,C6,0.9974827055671128,1,497.88070848086596,10104.782898131341,31.32459307482629,336933.8428167549,162863.47150930393,165085.45588179465,0.006775397590615924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C6,C6,0.9973444761986657,1,497.670862740373,19067.04345615051,33.45217714430339,678953.379628001,336374.23209280893,325227.0837501219,-0.016848739680157276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D1,D1,0.9979153862050907,1,501.26518881961965,13221.20246600191,30.557295984436674,430049.1434492658,213585.15421836296,203420.0025288914,-0.02437656111680324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D1,D1,0.998302306825169,1,501.3361869975071,28784.638484722585,32.12785945404037,984407.1984930764,487725.1346821651,468069.1374248424,-0.02056509212384367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D2,D2,0.9974392486332561,1,501.8561442173122,10259.735205043859,29.695373675238677,324307.6229085736,154854.20273789056,159203.150052078,0.013847621383651804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D2,D2,0.9972964956364956,1,501.1572130256173,20522.920710589646,31.49231324713308,687980.2009422841,348389.99216899916,318804.1379339281,-0.0443436968345433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D3,D3,0.9977045983614747,1,495.05981438557194,8743.42880047421,32.8729373466665,305951.43888120895,155730.69913661337,142640.0749786259,-0.043873680982345495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D3,D3,0.9983645097694454,1,495.3589520281975,18202.11989327739,35.565820640878954,689107.5605522776,343947.1302276519,329449.660920074,-0.021528866038801133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D4,D4,0.997892172325169,1,501.41112037846216,11236.484062996598,30.12595563178735,360332.53950932,175651.02832015714,173371.21524716582,-0.00653199936396481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D4,D4,0.998542814723253,1,501.4176084041258,26017.492670921536,31.84163615606897,881846.5629533784,429619.01425259135,426991.2258557398,-0.0030676593318791565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D5,D5,0.9974194687141233,1,501.706676196197,10260.858633090833,29.40445622708142,321165.6332720611,153776.07464436238,156870.21047365622,0.009960318141639245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D5,D5,0.9977947021133152,1,501.185577561832,21495.670558815247,31.068020366592933,710880.8069102967,354909.51927615673,334725.764719188,-0.029267288123710614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D6,D6,0.9979647991374198,1,502.115445119629,11924.852909310568,29.77272639727651,377923.45593605656,187596.53195249656,178419.3196074289,-0.02507326473964242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D6,D6,0.9981742706150675,1,501.7338683760934,23928.79717706881,31.097769715996506,792104.210760153,379036.31887276063,389149.07478882844,0.013164473054954762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E1,E1,0.9977791769974995,1,498.7720250119467,10190.284332632746,31.845400760855558,345434.1187026421,165876.8080461962,170308.33471501624,0.013181804027454261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E1,E1,0.9983675814190762,1,498.7232678372456,19648.996486758973,33.91442480871293,709344.2308868185,343083.8359271484,348291.1450539948,0.007531815975545696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E2,E2,0.9974719884347524,1,500.8878851679452,9225.544165389823,30.111392018119695,295702.5266579769,141400.945580874,145426.04135284008,0.014033183610077448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E2,E2,0.9976941478666886,1,500.499736032572,17830.11112856039,32.33396777615326,613684.6511793575,304940.7044100688,291713.7661611858,-0.022168506063851564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E3,E3,0.9978543007405899,1,499.7861543998482,10057.497308734797,30.960725983128317,331461.63699922233,158987.72939777275,163160.22939892323,0.012952123045372741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E3,E3,0.9985122310120624,1,499.80736218863683,21929.527190386376,33.06242606907519,771784.7565885849,369699.97452614096,381874.931611926,0.016199259696342852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E4,E4,0.999494637144816,1,502.3139842957377,9793.24604546961,37.73806257499266,393403.7327033168,182848.7086212958,188024.7834813484,0.01395644328934686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E4,E4,0.9996380188284107,1,502.31448369694266,20822.039663102198,39.97787912196964,886084.6845331885,416565.21155753837,420865.569108025,0.005135179706517169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E5,E5,0.9975149897792199,1,498.37577292917325,9972.525516363392,31.44177287083656,333767.76645722997,166376.64696183466,158405.79713597326,-0.024542120335362044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E5,E5,0.9978460325248827,1,498.2192980204044,20179.86912734905,33.64588072568142,722740.6077257073,364536.0789715704,339622.35464842874,-0.035380850577991424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E6,E6,0.9976387499403633,1,498.2686608945074,10071.73860303684,31.253744005970333,335072.4387201355,167202.96110663336,158612.7524148916,-0.026365237572172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E6,E6,0.998276168788133,1,498.23133518445667,20737.232344450204,33.37910423033542,736813.681527838,367846.03772421525,350497.7926477596,-0.024150336291567123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
