Read,Composition,Well,R_squared,Total_Quality_Peaks,Peak_1_Wavelength,Peak_1_Intensity,Peak_1_FWHM,Peak_1_Area,Peak_1_LeftArea,Peak_1_RightArea,Peak_1_Asymmetry,Peak_2_Wavelength,Peak_2_Intensity,Peak_2_FWHM,Peak_2_Area,Peak_2_LeftArea,Peak_2_RightArea,Peak_2_Asymmetry,Peak_3_Wavelength,Peak_3_Intensity,Peak_3_FWHM,Peak_3_Area,Peak_3_LeftArea,Peak_3_RightArea,Peak_3_Asymmetry,Peak_4_Wavelength,Peak_4_Intensity,Peak_4_FWHM,Peak_4_Area,Peak_4_LeftArea,Peak_4_RightArea,Peak_4_Asymmetry,Peak_5_Wavelength,Peak_5_Intensity,Peak_5_FWHM,Peak_5_Area,Peak_5_LeftArea,Peak_5_RightArea,Peak_5_Asymmetry
1,C2,C2,0.999203868,1,500.2139249,18369.63099,41.43632498,810240.3609,392257.4846,393059.6659,0.001021474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C2,C2,0.997487394,1,505.4100991,13153.94509,41.30793855,578391.3069,283188.4194,267702.9361,-0.028109868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C3,C3,0.998248148,1,497.5781846,17290.74792,35.18985815,647684.5026,306422.9095,323500.7679,0.027110996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C3,C3,0.998974878,1,502.3975457,11414.83661,36.86533216,447940.2222,222797.7193,212541.0119,-0.023560292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C4,C4,0.980356505,1,495.8611079,8309.773937,48.20801582,426423.054,177856.4056,218638.4759,0.102856486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C4,C4,0.999229781,2,489.4404049,4008.254058,36.34494897,155071.331,72488.30525,52725.95072,-0.157828311,515.5971435,4411.313009,30.85092977,144866.6249,67810.95072,88608.72893,0.132961391,,,,,,,,,,,,,,,,,,,,,
1,C5,C5,0.999278234,2,487.7185726,5312.16067,42.71346607,241528.4125,109849.7546,72122.33214,-0.207325327,516.4994793,3183.786523,30.0293053,101770.3892,65593.20127,73909.55331,0.05961425,,,,,,,,,,,,,,,,,,,,,
2,C5,C5,0.998808736,2,485.2597778,2554.46634,41.12053498,111812.7041,51003.17012,36960.77835,-0.159638034,515.944094,4274.494201,30.65586959,139485.9878,64727.77835,84280.92711,0.13122152,,,,,,,,,,,,,,,,,,,,,
1,C6,C6,0.999189963,2,488.5101371,5908.014747,39.66724178,249462.7952,115259.7346,78540.98907,-0.189466504,516.3921135,5200.934149,30.50440514,168879.1854,91795.48907,107326.4454,0.077997215,,,,,,,,,,,,,,,,,,,,,
2,C6,C6,0.998501071,2,485.4650781,2863.309819,34.41012612,104878.5845,46474.36166,40699.81028,-0.06624154,516.2516305,6522.154498,30.76382019,213581.4628,97144.7253,117760.3913,0.095929154,,,,,,,,,,,,,,,,,,,,,
1,D1,D1,0.981844603,2,493.1280189,8981.025904,37.70144327,360426.0192,413452.555,150035.0368,-0.467477052,509.9292681,21619.73278,30.46305809,701061.3593,182412.5368,604411.5701,0.53633211,,,,,,,,,,,,,,,,,,,,,
2,D1,D1,0.984346961,1,510.3473685,20616.56437,30.02628045,658946.3264,360797.0191,258663.3405,-0.164875245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D2,D2,0.998935503,2,471.3698489,7415.308736,41.65533366,328800.1941,173063.8661,143045.4713,-0.094962063,504.393242,9451.271618,36.95785496,371816.9734,164825.8694,184143.5508,0.055356373,,,,,,,,,,,,,,,,,,,,,
2,D2,D2,0.999374483,2,472.5004269,2967.435245,42.77236399,135106.6466,80580.43624,80501.38,-0.000490783,505.5323862,9454.279606,35.80797861,360363.2191,129089.6062,168151.6262,0.131415213,,,,,,,,,,,,,,,,,,,,,
1,D3,D3,0.985913536,1,471.9098914,6750.103349,47.77273198,343259.6145,144529.5292,182808.1237,0.116939173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D3,D3,0.990229099,1,478.6509493,4060.460251,52.64880152,227560.0199,103948.5569,114959.2088,0.050298133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D4,D4,0.992189059,1,469.671941,3646.56823,45.57170615,176893.4868,78335.98002,92613.57948,0.08351937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D4,D4,0.99744224,1,475.000372,2326.51349,47.36679111,117303.7104,56663.79832,57741.21382,0.009417555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D5,D5,0.996179293,1,472.1868902,2175.151826,43.84285218,101512.7482,47597.55097,51358.3038,0.038004349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D5,D5,0.998769849,1,475.6140572,1896.732923,42.94449045,86705.34026,41141.87005,43543.75529,0.028362372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D6,D6,0.99779853,1,495.2238059,6041.044186,31.07233607,199810.4178,99201.63427,95411.95097,-0.019472861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D6,D6,0.998148107,1,495.7799133,5496.332231,30.83391861,180398.9095,86337.13886,89376.57794,0.017297677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E1,E1,0.998069928,1,508.3596405,14330.02013,27.42525997,418340.358,203077.2921,199896.9139,-0.007892262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E1,E1,0.998432709,1,508.9448124,14159.20865,27.37354861,412574.4156,191642.9391,206150.466,0.036470004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E2,E2,0.997988809,1,510.4079276,15460.66935,26.82289407,441434.3625,211860.1715,214527.5909,0.006255854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E2,E2,0.997688105,1,510.590207,14408.40696,26.51439684,406658.5696,191114.0308,200774.6451,0.024651425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E3,E3,0.998272035,1,508.8018853,11063.26405,27.91974961,328796.3647,156227.3557,160884.7751,0.01468698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E3,E3,0.998329916,1,509.5875991,10252.54985,27.62603379,301496.7523,144791.3785,146281.5362,0.005119534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E4,E4,0.997058495,1,510.4653951,7653.768305,26.13401905,212918.6602,99930.96767,104761.4302,0.023598641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E4,E4,0.997345728,1,510.768724,6908.662593,26.1416783,192247.0388,88046.71037,96876.10789,0.047746393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E5,E5,0.996430519,1,511.7327706,1095.291386,25.12961223,29298.65402,13622.28933,14481.66721,0.030578537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E5,E5,0.997654681,1,512.2094318,1033.970946,25.23535476,27774.73731,13415.37889,13777.06217,0.013300876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E6,E6,0.997395563,1,510.3910185,755.0599929,26.14794619,21016.05771,10472.8373,10364.13587,-0.005216757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E6,E6,0.997706041,1,511.0081517,707.1010892,26.1588048,19689.36063,9828.080373,9148.401001,-0.035816934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
