Read,Composition,Well,R_squared,Total_Quality_Peaks,Peak_1_Wavelength,Peak_1_Intensity,Peak_1_FWHM,Peak_1_Area,Peak_1_LeftArea,Peak_1_RightArea,Peak_1_Asymmetry,Peak_2_Wavelength,Peak_2_Intensity,Peak_2_FWHM,Peak_2_Area,Peak_2_LeftArea,Peak_2_RightArea,Peak_2_Asymmetry,Peak_3_Wavelength,Peak_3_Intensity,Peak_3_FWHM,Peak_3_Area,Peak_3_LeftArea,Peak_3_RightArea,Peak_3_Asymmetry,Peak_4_Wavelength,Peak_4_Intensity,Peak_4_FWHM,Peak_4_Area,Peak_4_LeftArea,Peak_4_RightArea,Peak_4_Asymmetry,Peak_5_Wavelength,Peak_5_Intensity,Peak_5_FWHM,Peak_5_Area,Peak_5_LeftArea,Peak_5_RightArea,Peak_5_Asymmetry
1,A1,A1,0.987786121,1,522.4310149,259.4664626,24.33663067,6721.619009,3195.971149,3107.329697,-0.014062704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A1,A1,0.975366389,1,522.4898634,144.9629615,28.39706107,4381.901979,1971.429214,2019.98856,0.012165939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A2,A2,0.996787733,1,522.2610917,2552.40957,24.17553385,65683.8571,31214.66098,31927.21069,0.0112849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A2,A2,0.996434974,1,522.5170539,1696.309456,23.1511041,41803.14929,19735.96133,21281.85876,0.037688434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A3,A3,0.996067762,1,522.0443862,2657.808228,24.55547514,69471.1029,33426.54029,33317.15398,-0.001638901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A3,A3,0.996188075,1,522.1261578,2074.125969,24.13939288,53295.88552,25577.96048,25611.28103,0.000650929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A4,A4,0.996756126,1,522.1802013,3043.003803,24.08347082,78010.62931,37467.38046,37432.34994,-0.000467699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A4,A4,0.996665663,1,522.2903298,2144.507627,24.14106144,55108.1925,26271.40755,26639.12922,0.006949876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A5,A5,0.996757414,1,522.2394428,2232.60262,23.81405925,56594.87045,27217.59564,27100.44982,-0.002156665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A5,A5,0.996829218,1,522.204691,1361.973403,24.16970011,35040.64555,16867.02367,16792.1214,-0.002225317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A6,A6,0.996771866,1,521.9243134,2580.65404,24.34307742,66870.94766,30376.12191,33935.23083,0.055341845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A6,A6,0.997214033,1,522.0299894,1664.009574,23.99433384,42500.76309,20718.91677,20146.07247,-0.014017973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B1,B1,0.99775345,1,514.1202412,14717.89923,25.75258725,403458.5308,195092.7435,193836.4607,-0.003230107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B1,B1,0.997900098,1,514.6776404,10361.08897,25.74305294,283921.0962,131608.4524,142610.5062,0.040121419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B2,B2,0.997903999,1,513.6961962,8735.825836,26.53487364,246747.7499,115148.7893,123336.0786,0.034330435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B2,B2,0.998237451,1,514.5500453,5336.238634,26.74511363,151918.9326,72429.31884,74584.42022,0.014659184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B3,B3,0.997931269,1,514.3565202,7812.938705,28.18104676,234370.9324,114488.8591,112797.9772,-0.007439418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B3,B3,0.997669118,1,515.3886816,4620.951144,27.46816727,135111.7971,66380.61325,64692.62138,-0.012878235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B4,B4,0.994460991,1,518.3845255,6364.67636,26.12464357,176994.1486,81146.07159,88981.4569,0.046055952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B4,B4,0.995229274,1,518.4885684,5096.365709,25.42812225,137945.3565,63173.87135,69525.22833,0.047862849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B5,B5,0.995970755,1,518.1443731,7092.830905,25.48905684,192444.5348,91023.904,94133.09508,0.016792188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B5,B5,0.996142362,1,518.2934407,5844.057997,25.37304799,157840.8345,73979.20652,78022.16992,0.026598203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B6,B6,0.996013058,1,518.9481262,4452.312986,25.24509739,119645.1083,53211.68394,61891.53669,0.075409295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B6,B6,0.995919418,1,519.0368248,3657.387182,25.13270831,97845.85656,46722.65393,47428.89582,0.007501118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C1,C1,0.998984952,1,507.0990415,28969.25261,30.17158444,930395.5372,459540.7282,439301.4416,-0.022517064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C1,C1,0.998745896,1,510.2165031,21459.31962,28.58403913,652937.7165,323698.5745,307679.464,-0.025371662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
