Read,Composition,Well,R_squared,Total_Quality_Peaks,Peak_1_Wavelength,Peak_1_Intensity,Peak_1_FWHM,Peak_1_Area,Peak_1_LeftArea,Peak_1_RightArea,Peak_1_Asymmetry,Peak_2_Wavelength,Peak_2_Intensity,Peak_2_FWHM,Peak_2_Area,Peak_2_LeftArea,Peak_2_RightArea,Peak_2_Asymmetry,Peak_3_Wavelength,Peak_3_Intensity,Peak_3_FWHM,Peak_3_Area,Peak_3_LeftArea,Peak_3_RightArea,Peak_3_Asymmetry,Peak_4_Wavelength,Peak_4_Intensity,Peak_4_FWHM,Peak_4_Area,Peak_4_LeftArea,Peak_4_RightArea,Peak_4_Asymmetry,Peak_5_Wavelength,Peak_5_Intensity,Peak_5_FWHM,Peak_5_Area,Peak_5_LeftArea,Peak_5_RightArea,Peak_5_Asymmetry
1,A1,A1,0.9995087241825314,1,488.4750276827671,2879.892582051644,77.15401998877626,126013.11478132298,19061.94101046777,17224.635854959095,-0.050633190403232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A1,A1,0.9992401159059352,1,474.7932168771815,1613.302094458552,98.99388084105524,96604.23352273316,5321.909787092747,26711.93686887453,0.6677320807427054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A2,A2,0.9987010390039768,1,479.78910630941823,3125.2463112993128,51.24950720672639,143386.18829638598,39509.84681287003,36183.525527111815,-0.0439446834369834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A2,A2,0.9987434370233578,1,482.0322842374487,12954.693678021593,34.70157757999884,476776.54231524473,5524.81188830338,21982.25473475048,0.5982987234507223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A3,A3,0.9935346471986254,1,488.9004980646289,1928.9488840438112,52.891412594862125,108602.06808369533,50873.398176723655,54311.00373845296,0.0326817046932631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A3,A3,0.9765281748559218,1,493.02078285478615,7337.907022838935,40.21134147116116,304841.0218397656,94608.90982888176,57647.76879873986,-0.2427554663827837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A4,A4,0.9939113509291286,1,497.42671767561086,1284.0435457613144,48.19959642311627,55153.06582099583,9818.752742149272,8698.942561435995,-0.0604724379764725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A4,A4,0.9995443020371632,1,502.765471885976,4443.461125100516,64.40892322696075,179926.83784349763,70483.32421954446,7687.307544369173,-0.803319805126152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A5,A5,0.9981519681447314,1,487.9947569761755,2621.260941999264,47.16464334825357,131600.94905415556,61332.01375313995,66870.64266177246,0.0432021384229934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A5,A5,0.989512083874838,1,490.899999939641,7081.42656971223,52.61680265372421,396622.5662728993,186933.98404856343,162973.62970189814,-0.0684762303107606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B1,B1,0.9987603597874164,1,484.8092337715238,1018.5539994286715,49.0226801324649,49617.55291377213,15363.903083184396,10829.33033784636,-0.173120006699791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B1,B1,0.9990018711454576,1,488.6962719425067,3430.31051659912,51.49207959137384,161669.8780771231,40609.00784072976,32955.73137781921,-0.1040345761326482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B2,B2,0.999356887392107,1,476.4328817107225,2733.668419023747,39.85204814213193,115965.46987339848,55958.60228045282,57230.75521921898,0.0112391568153379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B2,B2,0.9992582130102622,1,475.7647498748276,7183.175062092539,41.90156684473045,320389.979033242,152971.50531118334,159986.88596126577,0.0224163366304344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B3,B3,0.9914829263121336,1,486.0666890619348,1991.8423315646628,54.062291331644914,114625.59859900406,53292.10546358033,57388.43512730047,0.03701038720855,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B3,B3,0.9995330434099304,1,488.13517563923074,9184.198209109203,54.01995697183422,437601.35896563285,5337.112174191685,23676.179703637907,0.6320919255446485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B5,B5,0.9981232303668846,1,485.9272207423561,2352.7098743512715,47.50509165670257,118970.89966331644,56592.56640005931,59204.92758300011,0.0225597384976481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B5,B5,0.9993636238971152,1,486.73594986264686,7569.553434111138,41.96376317698595,326629.1772632374,68647.77098978125,58937.43179870334,-0.0761086629080024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B6,B6,0.9988760372039795,1,485.9720975760652,1449.6533956519688,49.57912322127503,68408.44389007168,21081.655711309068,14474.0270063957,-0.1858388926848853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B6,B6,0.9992331209504548,1,490.1102086292975,4710.176751672936,55.22432983640206,221772.9299317753,57249.12392585337,39157.91717228305,-0.1876544134899294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C1,C1,0.99521722010767,1,509.8873762867935,605.6415543261072,35.658317406850635,22988.398766882525,11069.83651873069,10466.51645050065,-0.0280140313957518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C1,C1,0.9959057563195056,1,509.8594077535843,2878.2551116928894,35.51244178201351,108803.29044489498,51475.77365081486,49320.27420772268,-0.0213847614949875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C2,C2,0.7262042871181882,1,482.33244198692574,24.636244200463366,68.81088298174417,1301.9071720674615,108.80389713352268,120.73506577748664,0.0519788383316413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C2,C2,0.9412079333571336,1,488.3327248713066,82.94290964316154,53.42805029040599,4717.16212266947,2634.6432901269327,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C3,C3,0.9986581187905588,2,503.15594700406416,1080.3125020491088,51.8122305237964,42488.30321588249,4933.494037724884,5045.864002293502,0.0112602397987928,697.4092036336262,33.79222662502492,31.495861074633066,1132.9285087254484,11982.511421562704,9832.9950380335,-0.0985315829137523,,,,,,,,,,,,,,,,,,,,,
2,C3,C3,0.9970482200008104,1,506.7067995215348,6025.5766134464,36.777790088586976,217866.84754905856,90964.87105050078,19138.76735142617,-0.6523499562918855,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C5,C5,0.9919608178673134,1,484.3615614940964,1285.7460638111954,54.960351135443865,75220.62062176187,34918.58968450282,37729.51070676648,0.0386922852369787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C5,C5,0.9994732511491536,1,487.7355289567688,5195.649823563879,49.483422499579454,237705.9995144789,62020.57225075085,43420.35303795769,-0.1764041728756056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
