initial_peak_positions,final_peak_positions,initial_peak_intensities,final_peak_intensities,initial_peak_fwhm,initial_left_area,initial_right_area,composition_number,iteration
479.78910630941823,482.0322842374487,3125.2463112993128,12954.693678021593,51.24950720672639,39509.84681287003,36183.525527111815,1,0
476.4328817107225,475.7647498748276,2733.668419023747,7183.175062092539,39.85204814213193,55958.60228045282,57230.75521921898,2,0
486.0666890619348,488.13517563923074,1991.8423315646628,9184.198209109203,54.062291331644914,53292.10546358033,57388.43512730047,3,0
484.3615614940964,487.7355289567688,1285.7460638111954,5195.649823563879,54.960351135443865,34918.58968450282,37729.51070676648,4,0
508.22642019141097,501.24798052762975,1436.998687507071,5951.216966744281,65.09258741556951,20511.33277416589,9705.599655139302,5,0
473.74616781195886,477.4477098677585,1580.6507685734664,5613.20616281007,42.87219123041469,32583.537577608084,37487.27734347099,6,0
475.9244864114434,479.7064401219312,3542.3350561883017,8761.853741599602,41.43530083274853,32324.89407349477,20230.426149758463,7,0
485.7389396642302,485.9652152810042,3084.774284452805,8265.159545799155,46.52967063578488,71718.01574429192,74107.18546193208,8,0
486.0718218477372,486.9320851762325,4048.3528986774672,10287.864734824549,44.650198202188086,91174.66459528833,89619.98216867709,9,0
522.4310149,522.4898634,259.4664626,144.9629615,24.33663067,3195.971149,3107.329697,1,2
522.2610917,522.5170539,2552.40957,1696.309456,24.17553385,31214.66098,31927.21069,2,2
522.0443862,522.1261578,2657.808228,2074.125969,24.55547514,33426.54029,33317.15398,3,2
522.1802013,522.2903298,3043.003803,2144.507627,24.08347082,37467.38046,37432.34994,4,2
522.2394428,522.204691,2232.60262,1361.973403,23.81405925,27217.59564,27100.44982,5,2
521.9243134,522.0299894,2580.65404,1664.009574,24.34307742,30376.12191,33935.23083,6,2
514.1202412,514.6776404,14717.89923,10361.08897,25.75258725,195092.7435,193836.4607,7,2
513.6961962,514.5500453,8735.825836,5336.238634,26.53487364,115148.7893,123336.0786,8,2
514.3565202,515.3886816,7812.938705,4620.951144,28.18104676,114488.8591,112797.9772,9,2
518.3845255,518.4885684,6364.67636,5096.365709,26.12464357,81146.07159,88981.4569,10,2
