Intensity initial,Intensity final,Cs Con,NEA Con,CE
259.4664626,144.9629615,0.2,0.0,0.0
2552.40957,1696.309456,0.18,0.0,0.0
2657.808228,2074.125969,0.16,0.0,0.0
3043.003803,2144.507627,0.14,0.0,0.0
2232.60262,1361.973403,0.12,0.0,0.0
2580.65404,1664.009574,0.1,0.0,0.0
14717.89923,10361.08897,0.2,0.1,0.0
8735.825836,5336.238634,0.18,0.1,0.0
7812.938705,4620.951144,0.16,0.1,0.0
6364.67636,5096.365709,0.14,0.1,0.0
7092.830905,5844.057997,0.12,0.1,0.0
4452.312986,3657.387182,0.1,0.1,0.0
28969.25261,21459.31962,0.2,0.2,0.0
18369.63099,13153.94509,0.0,0.0,0.0
17290.74792,11414.83661,0.0,0.0,0.0
8309.773937,4411.313009,0.14,0.2,0.0
5312.16067,4274.494201,0.12,0.2,0.0
5908.014747,6522.154498,0.1,0.2,0.0
21619.73278,20616.56437,0.2,0.3,0.0
9451.271618,9454.279606,0.0,0.0,0.0
6750.103349,4060.460251,0.16,0.3,0.0
3646.56823,2326.51349,0.14,0.3,0.0
2175.151826,1896.732923,0.12,0.3,0.0
6041.044186,5496.332231,0.1,0.3,0.0
14330.02013,14159.20865,0.2,0.4,0.0
15460.66935,14408.40696,0.0,0.0,0.0
11063.26405,10252.54985,0.16,0.4,0.0
7653.768305,6908.662593,0.14,0.4,0.0
1095.291386,1033.970946,0.12,0.4,0.0
755.0599929,707.1010892,0.1,0.4,0.0
