initial_peak_positions,final_peak_positions,initial_peak_intensities,final_peak_intensities,initial_peak_fwhm,initial_left_area,initial_right_area,composition_number,iteration
522.4310149,522.4898634,259.4664626,144.9629615,24.33663067,3195.971149,3107.329697,1,2
522.2610917,522.5170539,2552.40957,1696.309456,24.17553385,31214.66098,31927.21069,2,2
522.0443862,522.1261578,2657.808228,2074.125969,24.55547514,33426.54029,33317.15398,3,2
522.1802013,522.2903298,3043.003803,2144.507627,24.08347082,37467.38046,37432.34994,4,2
522.2394428,522.204691,2232.60262,1361.973403,23.81405925,27217.59564,27100.44982,5,2
521.9243134,522.0299894,2580.65404,1664.009574,24.34307742,30376.12191,33935.23083,6,2
514.1202412,514.6776404,14717.89923,10361.08897,25.75258725,195092.7435,193836.4607,7,2
513.6961962,514.5500453,8735.825836,5336.238634,26.53487364,115148.7893,123336.0786,8,2
514.3565202,515.3886816,7812.938705,4620.951144,28.18104676,114488.8591,112797.9772,9,2
518.3845255,518.4885684,6364.67636,5096.365709,26.12464357,81146.07159,88981.4569,10,2
518.1443731,518.2934407,7092.830905,5844.057997,25.48905684,91023.904,94133.09508,11,2
518.9481262,519.0368248,4452.312986,3657.387182,25.24509739,53211.68394,61891.53669,12,2
507.0990415,510.2165031,28969.25261,21459.31962,30.17158444,459540.7282,439301.4416,13,2
500.2139249,505.4100991,18369.63099,13153.94509,41.43632498,392257.4846,393059.6659,14,2
497.5781846,502.3975457,17290.74792,11414.83661,35.18985815,306422.9095,323500.7679,15,2
495.8611079,515.5971435,8309.773937,4411.313009,48.20801582,177856.4056,218638.4759,16,2
516.4994793,515.944094,5312.16067,4274.494201,42.71346607,109849.7546,73909.55331,17,2
516.3921135,516.2516305,5908.014747,6522.154498,39.66724178,115259.7346,107326.4454,18,2
509.9292681,510.3473685,21619.73278,20616.56437,37.70144327,413452.555,604411.5701,19,2
504.393242,505.5323862,9451.271618,9454.279606,41.65533366,173063.8661,184143.5508,20,2
471.9098914,478.6509493,6750.103349,4060.460251,47.77273198,144529.5292,182808.1237,21,2
469.671941,475.000372,3646.56823,2326.51349,45.57170615,78335.98002,92613.57948,22,2
472.1868902,475.6140572,2175.151826,1896.732923,43.84285218,47597.55097,51358.3038,23,2
495.2238059,495.7799133,6041.044186,5496.332231,31.07233607,99201.63427,95411.95097,24,2
508.3596405,508.9448124,14330.02013,14159.20865,27.42525997,203077.2921,199896.9139,25,2
510.4079276,510.590207,15460.66935,14408.40696,26.82289407,211860.1715,214527.5909,26,2
508.8018853,509.5875991,11063.26405,10252.54985,27.91974961,156227.3557,160884.7751,27,2
510.4653951,510.768724,7653.768305,6908.662593,26.13401905,99930.96767,104761.4302,28,2
511.7327706,512.2094318,1095.291386,1033.970946,25.12961223,13622.28933,14481.66721,29,2
510.3910185,511.0081517,755.0599929,707.1010892,26.14794619,10472.8373,10364.13587,30,2
